x,y
-7.31697786288022E-01,-8.74310511172521E-01
-5.47701972960997E-01,-5.80320202524044E-01
-7.62839976135616E-01,-8.85572018194957E-01
-3.40946324833188E-01,-8.10411474874345E-01
-7.49064922886084E-01,-3.99218379806731E-01
-7.06161245392562E-01,-8.76186792030947E-01
-6.48088737283242E-01,-7.89023819422111E-01
-6.09450497871042E-01,-6.52751597193016E-01
-7.85217579940408E-01,-8.57567854061422E-01
-4.2072443572376E-01,-9.39190575595496E-01
-7.97475196159425E-01,-8.77264554690584E-01
-5.12968781679085E-01,-7.31129813393436E-01
-4.85801308062491E-01,-8.3085887919094E-01
-9.36351857162061E-01,-7.85531081184511E-01
-7.58531356511567E-01,-9.16834094811777E-01
-6.49970426047997E-01,-8.92646139890329E-01
-5.78042074142765E-01,-8.76254120655582E-01
-5.62617843996505E-01,-7.5463183957048E-01
-6.19663941215599E-01,-6.11433360334121E-01
-7.16395162800904E-01,-8.58505881470865E-01
-6.09546165487689E-01,-8.9814547950066E-01
-9.63599223431056E-01,-8.43924073559347E-01
-5.79774990018097E-01,-3.84433524790828E-01
-5.63942099733707E-01,-6.34804456381177E-01
-7.02129912103549E-01,-8.4137270072403E-01
-5.59577409887044E-01,-7.05591318837135E-01
-8.0384288997759E-01,-9.36777980404867E-01
-5.64193332700957E-01,-9.57823112744239E-01
-4.95373338521659E-01,-9.10562069273289E-01
-4.79966889658101E-01,-9.60649970565638E-01
-5.39350962074807E-01,-8.75531562218942E-01
-4.61740466132569E-01,-9.77875154718329E-01
-5.11665671652214E-01,-6.48032267004683E-01
-7.01385342544366E-01,-8.19089564148752E-01
-8.29215763648665E-01,-9.14358792275008E-01
-3.87776486402854E-01,-6.9667614472185E-01
-7.73218643120593E-01,-6.64531621264093E-01
-8.55687514812375E-01,-6.39424674532958E-01
-3.94401097160023E-01,-9.17048207470781E-01
-9.51381160025885E-01,-7.12096098590322E-01
-6.49503608933667E-01,-8.77773299199065E-01
-7.2882390592809E-01,-7.85140003192584E-01
-9.08432505447544E-01,-9.90099256841812E-01
-7.43167589289266E-01,-7.62902849664951E-01
-6.59727677411522E-01,-6.09445728580949E-01
-9.55675768834009E-01,6.81204943173187E-01
-5.97819492120449E-01,5.69272830646053E-01
-8.62988132306065E-01,7.38701437011954E-01
-9.99751861488174E-01,6.48856400400063E-01
-8.95722897771196E-01,6.68959827357764E-01
-8.31725288258302E-01,7.36876483113084E-01
-8.86867365073138E-01,9.70260217892816E-01
-9.5099489143938E-01,6.05215574608767E-01
-9.90727306968986E-01,5.31663258167031E-01
-9.33974540857392E-01,8.51684495221815E-01
-7.87511773839576E-01,7.34394936270732E-01
-9.78958652638546E-01,6.94009076439053E-01
-7.81895421252696E-01,9.2661801945119E-01
-7.24428089944504E-01,6.89752351208214E-01
-9.14606965555463E-01,5.1619606074251E-01
-6.89275083323408E-01,6.55096198177386E-01
-9.9595660875587E-01,7.10688741131494E-01
-8.46565623334261E-01,6.75539020065975E-01
-7.10815529656028E-01,6.64446503326181E-01
-9.8297955404586E-01,7.04538049228318E-01
-9.64168155370522E-01,7.36997003038899E-01
-9.3907553773773E-01,8.45006515092043E-01
-7.3421217716642E-01,7.66362405933745E-01
-9.74424212339334E-01,5.88288736107644E-01
-8.20233814381829E-01,9.19144551534499E-01
-7.7303796080719E-01,6.51527090536907E-01
-9.0935373163114E-01,6.97931278811549E-01
-8.34690653163715E-01,6.90446824271637E-01
-8.18439855828808E-01,8.19614704308937E-01
-9.29773603670797E-01,9.30518098725372E-01
-8.81323607892145E-01,6.94134361663876E-01
-6.96481868579393E-01,7.09730382478893E-01
-9.03457155132663E-01,7.01028677873013E-01
-9.82485736189142E-01,8.32186163160475E-01
-9.22226455070733E-01,7.27941328790067E-01
-8.47076668058161E-01,5.52158477936149E-01
-9.52832552850591E-01,8.57115768940411E-01
-8.50977892285348E-01,9.60706624738355E-01
-7.02712213586086E-01,5.62955453571428E-01
-8.03203919273636E-01,7.9470783930131E-01
-7.11220548749516E-01,8.49699306143093E-01
-9.00032670734152E-01,6.1223256830431E-01
-8.82480234183485E-01,7.29171099303997E-01
-9.87305027311853E-01,7.15250243194101E-01
-8.84264070568086E-01,8.9283554335072E-01
-4.83418207621635E-01,4.3352224234781E-01
-9.21425199671693E-01,5.74821436546129E-01
-6.81317463587208E-01,2.73132900382129E-01
-5.60231271537728E-01,2.36794149032688E-01
-7.39141702795469E-01,3.90742664808274E-01
-8.14471531138629E-01,3.34597340738022E-01
-9.38395772269068E-01,1.07479522891678E-01
-4.75203929689141E-01,6.21296912260475E-01
-4.76276762159E-01,8.69135392549764E-02
-3.97989652550713E-01,3.23667557271648E-01
-5.54871916008277E-01,4.47810590560589E-01
-4.53723883064536E-01,4.00332863104261E-01
-6.19450382630406E-01,6.74320577704797E-01
-4.65066600630358E-01,2.01105790333326E-01
-2.97225242200918E-01,2.83106844868297E-01
-5.93588205866801E-01,4.8516196365045E-01
-5.58922894809498E-01,3.17504385276233E-01
-7.37563670816288E-01,3.48730392133172E-01
-4.8878255219717E-01,3.02093745612035E-01
-3.07957449954705E-01,4.60918501487133E-01
-3.97221848768421E-01,4.22359900093843E-01
-8.58930852489013E-01,3.55195873338622E-02
-4.89478426971791E-01,5.67764619630993E-01
-6.40386080260646E-01,4.09052349936125E-01
-5.51438412917393E-01,5.56911794017979E-01
-5.9958960554181E-01,3.55339524336729E-01
-5.6830740561023E-01,5.17905866740553E-01
-6.35866778862506E-01,1.66613039186902E-01
-4.37181918523376E-01,1.55455770841732E-01
-4.82736835129432E-01,2.17513641907146E-01
-5.63352064640218E-01,6.04137919039016E-01
-6.79320366760601E-01,5.90325075326183E-01
-7.45879474295356E-01,2.52909513597414E-01
-4.31493328779752E-01,3.41485550457384E-01
-6.59965304099847E-01,4.90572230342454E-01
-7.31698061679394E-01,2.58828342640069E-01
-7.42460607307933E-01,4.52271161118725E-01
-5.60653706716433E-01,5.29511631904357E-02
-7.29035340807324E-01,1.01829285629293E-01
-2.46200536085265E-01,5.85702390977705E-03
-7.13070929188598E-01,2.24538530212676E-01
-6.54848053722195E-01,3.15175612150104E-01
-5.1170212330171E-01,2.82043603744338E-01
-4.7215491677804E-01,3.80938435657205E-01
-3.70911763267844E-01,4.93100177950104E-01
-1.38419174828149E-01,-5.43347291964794E-02
8.98831553396087E-02,-2.14162286375958E-01
1.76856633826019E-02,-2.68497342232811E-01
-3.76411763862911E-01,-2.48332744597953E-02
-9.28837780801699E-02,-1.41970104623577E-01
-1.58111992934188E-01,-1.37539366565105E-01
-1.37785437959353E-01,-1.91581462601016E-02
-1.2252744895783E-01,-2.76954208095282E-01
-1.83713787533958E-01,-3.34941036219158E-01
4.76315074879045E-02,-3.19973942515594E-01
-9.24631395675317E-02,-9.65742102053333E-02
-1.97826737764036E-01,-2.69655518967883E-01
-3.13008070178983E-01,-1.12722997497568E-01
-5.50973264458204E-02,-7.95207599488285E-02
-2.75961599725826E-01,-2.54902631052703E-01
-3.24660009896438E-01,-3.49144800520588E-01
-3.07340525887861E-01,-2.27555827935736E-01
-1.46681536729159E-01,-2.13452409625768E-01
-1.26879025972735E-01,-2.14252546708724E-01
-1.44790563663846E-01,-2.42627006738817E-01
-1.12973829492908E-01,-3.21579379659531E-01
-6.47914201814959E-02,-1.46968653081158E-01
-1.27984799378303E-01,-1.36638531295954E-01
-6.26607089518281E-02,-2.05501866659728E-01
-1.37690537198979E-01,-5.44994079466871E-02
-6.58376193540233E-02,-1.38630732167401E-01
-1.07017573298883E-01,-1.80879736517064E-01
